Name,CarLink,Time,PS,Weight_KG
Acura ARX-01b,https://fastestlaps.com/models/acura-arx-01b,70.1,558,825
Porsche RS Spyder (Evo),https://fastestlaps.com/models/porsche-rs-spyder,70.35,510,775
Acura ARX-01a,https://fastestlaps.com/models/acura-arx-01a,70.91,558,825
Audi R10 TDI,https://fastestlaps.com/models/audi-r10-tdi,71.17,659,925
Porsche RS Spyder,https://fastestlaps.com/models/porsche-rs-spyder-n-a,74.03,487,775
Czinger 21C,https://fastestlaps.com/models/czinger-21c,85.45,1267,1250
McLaren Senna (P15),https://fastestlaps.com/models/mclaren-senna-p15,87.62,800,1364
Porsche 911 GT2 RS (991),https://fastestlaps.com/models/porsche-911-gt2-rs-991,88.3,700,1515
Pagani Huayra BC,https://fastestlaps.com/models/pagani-huayra-bc,88.5,800,1218
Dodge Viper ACR (Mk V),https://fastestlaps.com/models/dodge-viper-acr-mk-v,88.65,654,1539
McLaren 765LT,https://fastestlaps.com/models/mclaren-765lt,89.23,765,1368
McLaren 720S,https://fastestlaps.com/models/mclaren-720s,89.78,720,1428
Porsche 918 Spyder,https://fastestlaps.com/models/porsche-918-spyder,89.89,887,1668
Huracán Performante,https://fastestlaps.com/models/lamborghini-huracn-performante,90.0,640,1562
McLaren P1,https://fastestlaps.com/models/mclaren-p1,90.12,916,1519
McLaren P1,https://fastestlaps.com/models/mclaren-p1,90.71,916,1519
Dodge Viper ACR (Mk V),https://fastestlaps.com/models/dodge-viper-acr-mk-v,91.58,654,1539
Ferrari 488 GTB,https://fastestlaps.com/models/ferrari-488-gtb,91.68,670,1547
Ferrari F8 Tributo,https://fastestlaps.com/models/ferrari-f8-tributo,92.27,720,1522
Chevrolet Corvette ZR1,https://fastestlaps.com/models/chevrolet-corvette-zr1-n-a,92.46,765,1651
McLaren 600LT,https://fastestlaps.com/models/mclaren-600lt,92.7,600,1404
Lamborghini Huracán Evo,https://fastestlaps.com/models/lamborghini-huracn-evo,92.85,640,1619
Porsche 911 Turbo S (992),https://fastestlaps.com/models/porsche-911-turbo-s-992,92.97,650,1650
Mercedes-Benz AMG GT R,https://fastestlaps.com/models/mercedes-benz-amg-gt-r,93.01,585,1635
Chevrolet Corvette Z06 (C7),https://fastestlaps.com/models/chevrolet-corvette-z06-c7,93.05,659,1611
Porsche 911 GT3 RS 4.0 (997),https://fastestlaps.com/models/porsche-911-gt3-rs-4-0,93.1,500,1396
Porsche 911 Turbo S,https://fastestlaps.com/models/porsche-911-turbo-s-991-facelift,93.21,580,1604
Porsche 911 GT3 RS (991),https://fastestlaps.com/models/porsche-911-gt3-rs-991,93.29,500,1466
Porsche 911 GT3 RS (991),https://fastestlaps.com/models/porsche-911-gt3-rs-991,93.29,500,1466
SRT Viper TA,https://fastestlaps.com/models/srt-viper-ta,93.62,649,1516
Chevrolet Corvette ZR1,https://fastestlaps.com/models/chevrolet-corvette-zr1,93.7,647,1526
Ford Mustang Shelby GT500,https://fastestlaps.com/models/ford-mustang-shelby-gt500-s550,93.81,771,1877
Dodge Viper SRT-10 ACR,https://fastestlaps.com/models/dodge-viper-srt-10-acr,93.92,608,1544
SRT Viper GTS ,https://fastestlaps.com/models/srt-viper-gts,94.23,649,1560
Audi R8 V10 Plus (Mk II),https://fastestlaps.com/models/audi-r8-plus,94.23,610,1638
Camaro ZL1 1LE Package,https://fastestlaps.com/models/chevrolet-camaro-g6-zl1-1le,94.3,659,1747
Corvette Z06 Z07 Package,https://fastestlaps.com/models/chevrolet-corvette-z06-z07-package,94.43,512,1394
McLaren MP4-12C,https://fastestlaps.com/models/mclaren-mp4-12c,94.5,600,1458
McLaren 570S,https://fastestlaps.com/models/mclaren-570s,94.58,570,1451
SRT Viper,https://fastestlaps.com/models/srt-viper,94.63,649,1509
McLaren 570GT,https://fastestlaps.com/models/mclaren-570gt,94.87,570,1496
Nissan GT-R Nismo (R35),https://fastestlaps.com/models/nissan-gt-r-nismo,95.01,600,1746
SLS AMG Black Series,https://fastestlaps.com/models/mercedes-benz-sls-amg-black-series,95.03,631,1646
McLaren 620R,https://fastestlaps.com/models/mclaren-620r,95.19,620,1428
Mercedes-Benz AMG GT S,https://fastestlaps.com/models/mercedes-benz-amg-gts,95.3,510,1651
Lamborghini Aventador LP700-4,https://fastestlaps.com/models/lamborghini-aventador-lp700-4,95.4,700,1761
Nissan GT-R Nismo (R35),https://fastestlaps.com/models/nissan-gt-r-nismo,95.51,600,1746
Porsche 911 Carrera S (992),https://fastestlaps.com/models/porsche-911-carrera-s-992,95.52,450,1553
Porsche 911 GT2 RS (997),https://fastestlaps.com/models/porsche-911-gt2-rs,95.56,620,1401
Mercedes-Benz AMG GT S,https://fastestlaps.com/models/mercedes-benz-amg-gts,95.57,510,1651
Porsche 911 Turbo S (991),https://fastestlaps.com/models/porsche-911-turbo-s-991,95.62,560,1593
Corvette  Grand Sport ,https://fastestlaps.com/models/chevrolet-corvette-grand-sport,95.62,466,1584
Ford Shelby Mustang GT350R,https://fastestlaps.com/models/ford-shelby-mustang-gt350r,96.11,533,1655
Porsche 718 Cayman GT4,https://fastestlaps.com/models/porsche-cayman-gt4-718,96.14,420,1452
Ferrari 458 Italia,https://fastestlaps.com/models/ferrari-458-italia,96.22,570,1529
Mercedes-Benz AMG GT 63 S,https://fastestlaps.com/models/mercedes-benz-amg-gt-63-s,96.26,639,2112
Modified BMW M4,https://fastestlaps.com/models/bmw-m4,96.29,600,1724
Nissan GT-R (R35 530 PS),https://fastestlaps.com/models/nissan-gt-r-r35-530-ps,96.35,530,1760
Honda NSX (Mk II),https://fastestlaps.com/models/acura-nsx-2016,96.36,581,1770
Audi R8 GT (Mk I),https://fastestlaps.com/models/audi-r8-gt,96.39,560,1563
Lexus LFA,https://fastestlaps.com/models/lexus-lfa,96.39,560,1611
SRT Viper,https://fastestlaps.com/models/srt-viper,96.43,649,1509
Porsche 911 Carrera S,https://fastestlaps.com/models/porsche-911-carrera-s-991-facelift,96.44,420,1485
Nissan GT-R (R35 550 PS),https://fastestlaps.com/models/nissan-gt-r-r35-550-ps,96.63,550,1763
Porsche 911 GT3 RS,https://fastestlaps.com/models/porsche-911-gt3-rs-997-997-facelift,96.77,450,1400
Ford Shelby Mustang GT350,https://fastestlaps.com/models/ford-shelby-mustang-gt350,96.83,533,1724
Jaguar XE SV Project 8,https://fastestlaps.com/models/jaguar-xe-sv-project-8,96.96,600,1801
Nissan GT-R (R35 570PS),https://fastestlaps.com/models/nissan-gt-r-r35-565ps,97.08,570,1775
Porsche Cayman GT4 (981),https://fastestlaps.com/models/porsche-cayman-gt4,97.43,385,1360
BMW M4 GTS,https://fastestlaps.com/models/bmw-m4-gts,97.66,500,1600
Camaro SS 1LE Package,https://fastestlaps.com/models/chevrolet-camaro-ss-1le,97.78,461,1703
Porsche 911 Turbo,https://fastestlaps.com/models/porsche-911-turbo-997-facelift,97.8,500,1601
Chevrolet Camaro Z/28,https://fastestlaps.com/models/chevrolet-camaro-z-28-2013,97.82,507,1702
Chevrolet Corvette Stingray,https://fastestlaps.com/models/chevrolet-corvette-c8-stingray,97.83,502,1646
Ferrari F12 Berlinetta,https://fastestlaps.com/models/ferrari-f12-berlinetta,98.04,740,1771
Aston Martin DBS Superleggera ,https://fastestlaps.com/models/aston-martin-dbs-superleggera,98.27,725,1849
Chevrolet Corvette Stingray,https://fastestlaps.com/models/chevrolet-corvette-stingray-c7,98.28,461,1566
Aston Martin Vantage  (Mk II),https://fastestlaps.com/models/aston-martin-vantage,98.42,510,1713
Ford Mustang GT PP2,https://fastestlaps.com/models/ford-mustang-gt-pp2,98.42,466,1735
Cadillac CTS-V (Mk III),https://fastestlaps.com/models/cadillac-cts-v-mk-iii,98.52,649,1879
Audi R8 V10 5.2 FSI Plus,https://fastestlaps.com/models/audi-r8-v10-5-2-fsi-plus,98.7,550,1651
Ford Mustang Shelby GT500,https://fastestlaps.com/models/ford-mustang-shelby-gt500-2013,98.7,659,1750
Chevrolet Corvette ZR1,https://fastestlaps.com/models/chevrolet-corvette-zr1,98.7,647,1526
Jaguar F-Type SVR,https://fastestlaps.com/models/jaguar-f-type-svr,98.75,575,1814
Mercedes-Benz SLS AMG,https://fastestlaps.com/models/mercedes-benz-sls-amg,98.82,571,1674
C 63 AMG Coupe Black Series,https://fastestlaps.com/models/mercedes-benz-c-63-amg-coupe-black-series,98.9,517,1748
Porsche 911 Carrera 4S (991),https://fastestlaps.com/models/porsche-911-carrera-4s-991,99.0,400,1514
Chevrolet Camaro ZL1,https://fastestlaps.com/models/chevrolet-camaro-zl1-2012,99.18,588,1838
Porsche 911 Carrera S (991),https://fastestlaps.com/models/porsche-911-carrera-s-991,99.3,400,1459
BMW M850i (G15),https://fastestlaps.com/models/bmw-m850i,99.4,530,1980
Porsche 911 Carrera GTS,https://fastestlaps.com/models/porsche-911-carrera-gts-991-facelift,99.5,450,1514
Ford Mustang Boss 302 LS,https://fastestlaps.com/models/ford-mustang-boss-302-ls,99.5,443,1652
Porsche 911 GT3 (997),https://fastestlaps.com/models/porsche-911-gt3,99.52,415,1435
Cadillac ATS-V Coupe,https://fastestlaps.com/models/cadillac-ats-v-coupe,99.65,470,1703
Alfa Romeo Giulia QV,https://fastestlaps.com/models/alfa-romeo-giulia-qv,99.68,510,1709
BMW M4,https://fastestlaps.com/models/bmw-m4,99.69,431,1605
Tesla Model 3 Performance,https://fastestlaps.com/models/tesla-model-3-performance-p3d,99.8,456,1853
